"fit","setting","value"
"fit_star","MCMLE.maxit","30"
"fit_star","MCMC.samplesize","1768"
"fit_star","MCMC.interval","125000"
"fit_star","MCMC.burnin","4e+06"
"fit_star","MCMLE.termination","confidence"
"fit_star","MCMLE.confidence","0.99"
"fit_star","MCMLE.effectiveSize","64"
"fit_star","parallel","4"
"fit_star","seed","123"
"fit_star","MCMLE.steplength","1"
"fit_star","MCMLE.steplength.margin","0.05"
"fit_star","CD.maxit","60"
"fit_star","CD.nsteps","8"
"fit_star_maxit2","MCMLE.maxit","2"
"fit_star_maxit2","MCMC.samplesize","1250"
"fit_star_maxit2","MCMC.interval","250000"
"fit_star_maxit2","MCMC.burnin","8e+06"
"fit_star_maxit2","MCMLE.termination","confidence"
"fit_star_maxit2","MCMLE.confidence","0.99"
"fit_star_maxit2","MCMLE.effectiveSize","64"
"fit_star_maxit2","parallel","4"
"fit_star_maxit2","seed","123"
"fit_star_maxit2","MCMLE.steplength","1"
"fit_star_maxit2","MCMLE.steplength.margin","0.05"
"fit_star_maxit2","CD.maxit","60"
"fit_star_maxit2","CD.nsteps","8"
